id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,is_automated
923,Automated testing script,Full Stack Developer,Low,Deployment,5,Yes,Long,Monthly,Basic,Yes
924,Writing user manuals,Database Administrator,Low,Development,3,No,Medium,Daily,Basic,Yes
925,Automated testing script,Full Stack Developer,High,Maintenance,3,Yes,Long,Daily,Advanced,Yes
926,Continuous integration setup,QA Engineer,High,Deployment,1,Yes,Long,Rarely,Basic,Yes
927,Writing unit tests,Cloud Engineer,High,Deployment,5,No,Long,Daily,Intermediate,No
928,Frontend development,Security Analyst,Low,Development,3,No,Short,Weekly,Basic,Yes
929,Writing unit tests,Cloud Engineer,Medium,Maintenance,1,Yes,Medium,Monthly,Intermediate,Yes
930,Automated testing script,QA Engineer,Medium,Documentation,3,No,Long,Monthly,Basic,No
931,Cloud infrastructure management,Software Architect,Medium,Maintenance,3,No,Short,Monthly,Advanced,Yes
932,Deploying applications,Full Stack Developer,Low,Development,3,No,Short,Rarely,Advanced,No
933,Deploying applications,Technical Writer,Medium,Maintenance,4,Yes,Long,Rarely,Advanced,Yes
934,Frontend development,AI/ML Engineer,High,Maintenance,2,Yes,Medium,Weekly,Advanced,No
935,Bug fixing,Full Stack Developer,Medium,Testing,1,No,Short,Rarely,Basic,Yes
936,Database optimization,Backend Developer,Low,Development,1,No,Short,Daily,Advanced,No
937,Automated testing script,QA Engineer,High,Testing,1,No,Short,Daily,Advanced,Yes
938,Bug fixing,Frontend Developer,High,Documentation,4,Yes,Short,Monthly,Advanced,No
939,Code review,DevOps Engineer,High,Documentation,4,Yes,Short,Daily,Advanced,Yes
940,Database optimization,Full Stack Developer,High,Testing,4,No,Short,Daily,Advanced,No
941,Designing architecture,Full Stack Developer,Medium,Documentation,2,No,Medium,Rarely,Advanced,No
942,Bug fixing,DevOps Engineer,High,Documentation,4,Yes,Long,Monthly,Basic,No
943,Code review,Cloud Engineer,High,Development,4,Yes,Medium,Weekly,Advanced,No
944,Cloud infrastructure management,Security Analyst,Low,Testing,4,Yes,Short,Rarely,Advanced,Yes
945,Performance tuning,DevOps Engineer,Medium,Maintenance,1,Yes,Short,Daily,Basic,Yes
946,Continuous integration setup,Frontend Developer,High,Deployment,1,No,Long,Daily,Advanced,Yes
947,Database optimization,Frontend Developer,Medium,Deployment,2,Yes,Short,Daily,Advanced,Yes
948,API integration,Backend Developer,High,Deployment,4,No,Long,Weekly,Advanced,Yes
949,Code review,Full Stack Developer,Medium,Documentation,4,No,Long,Daily,Basic,No
950,Bug fixing,Cloud Engineer,Low,Testing,4,Yes,Long,Rarely,Advanced,Yes
951,Writing unit tests,Database Administrator,Low,Deployment,4,Yes,Short,Daily,Advanced,Yes
952,Cloud infrastructure management,Software Architect,High,Documentation,1,No,Medium,Rarely,Basic,Yes
953,Bug fixing,Security Analyst,High,Documentation,5,No,Long,Weekly,Intermediate,Yes
954,Code review,Software Architect,High,Documentation,2,No,Short,Weekly,Intermediate,No
955,Deploying applications,AI/ML Engineer,Medium,Documentation,2,Yes,Medium,Weekly,Intermediate,Yes
956,Bug fixing,Technical Writer,High,Testing,2,Yes,Long,Rarely,Advanced,Yes
957,Writing unit tests,QA Engineer,Medium,Testing,3,No,Medium,Rarely,Basic,No
958,Code review,Data Engineer,High,Maintenance,2,No,Long,Monthly,Advanced,Yes
959,Security auditing,Cloud Engineer,Medium,Deployment,3,Yes,Medium,Rarely,Basic,No
960,Writing user manuals,DevOps Engineer,Medium,Development,4,No,Long,Daily,Basic,Yes
961,Database optimization,Frontend Developer,Medium,Documentation,2,No,Long,Weekly,Basic,No
962,Deploying applications,Database Administrator,Low,Testing,3,Yes,Long,Weekly,Intermediate,No
963,Continuous integration setup,AI/ML Engineer,High,Development,1,Yes,Medium,Rarely,Intermediate,No
964,Continuous integration setup,Frontend Developer,Medium,Testing,1,No,Short,Weekly,Basic,Yes
965,Writing unit tests,Full Stack Developer,Medium,Documentation,4,No,Short,Rarely,Intermediate,No
966,Database optimization,Cloud Engineer,High,Maintenance,5,No,Short,Monthly,Advanced,No
967,Security auditing,Data Engineer,Low,Deployment,5,Yes,Short,Rarely,Basic,No
968,Designing architecture,DevOps Engineer,High,Documentation,3,Yes,Long,Weekly,Advanced,Yes
969,Bug fixing,Data Engineer,Medium,Testing,2,No,Medium,Daily,Basic,No
970,Performance tuning,Technical Writer,High,Development,1,No,Short,Daily,Basic,Yes
971,Writing unit tests,Full Stack Developer,High,Testing,4,Yes,Short,Weekly,Basic,No
972,Performance tuning,Technical Writer,High,Development,5,Yes,Medium,Monthly,Basic,No
973,Security auditing,Data Engineer,Medium,Documentation,3,Yes,Medium,Rarely,Basic,No
974,API integration,Backend Developer,Low,Deployment,3,No,Short,Monthly,Intermediate,No
975,API integration,Database Administrator,Medium,Testing,4,No,Long,Rarely,Basic,No
976,Writing unit tests,Full Stack Developer,High,Development,5,Yes,Short,Monthly,Advanced,Yes
977,Database optimization,QA Engineer,Medium,Development,5,No,Short,Daily,Advanced,Yes
978,Writing unit tests,Full Stack Developer,Low,Maintenance,5,No,Short,Weekly,Advanced,Yes
979,Performance tuning,Frontend Developer,High,Maintenance,2,Yes,Short,Daily,Basic,Yes
980,Deploying applications,DevOps Engineer,High,Deployment,4,Yes,Long,Monthly,Advanced,No
981,Deploying applications,QA Engineer,High,Documentation,1,No,Medium,Weekly,Advanced,No
982,API integration,Software Architect,Medium,Development,1,No,Medium,Weekly,Basic,No
983,Database optimization,Backend Developer,High,Maintenance,5,No,Short,Rarely,Basic,Yes
984,Automated testing script,Frontend Developer,High,Deployment,1,No,Long,Daily,Advanced,Yes
985,Code review,AI/ML Engineer,Low,Documentation,3,No,Long,Monthly,Intermediate,No
986,Deploying applications,DevOps Engineer,Medium,Development,2,No,Medium,Rarely,Advanced,Yes
987,Code review,Full Stack Developer,Low,Deployment,3,No,Medium,Weekly,Intermediate,Yes
988,Automated testing script,QA Engineer,Low,Testing,1,Yes,Medium,Monthly,Advanced,No
989,Security auditing,Database Administrator,High,Documentation,4,No,Long,Rarely,Basic,Yes
990,Frontend development,Technical Writer,High,Deployment,2,Yes,Medium,Monthly,Intermediate,Yes
991,Backend maintenance,AI/ML Engineer,Medium,Testing,1,Yes,Medium,Daily,Intermediate,Yes
992,Cloud infrastructure management,AI/ML Engineer,High,Development,1,No,Long,Daily,Intermediate,Yes
993,Automated testing script,Data Engineer,Low,Development,4,Yes,Long,Weekly,Advanced,Yes
994,Database optimization,QA Engineer,Low,Development,1,Yes,Long,Monthly,Advanced,No
995,Frontend development,Data Engineer,Medium,Deployment,5,No,Long,Monthly,Basic,No
996,Designing architecture,Cloud Engineer,High,Documentation,1,No,Long,Monthly,Basic,Yes
997,Writing unit tests,Software Architect,Low,Development,1,No,Long,Monthly,Intermediate,Yes
998,Writing unit tests,AI/ML Engineer,Medium,Deployment,5,Yes,Medium,Daily,Basic,Yes
999,Performance tuning,Cloud Engineer,Medium,Deployment,1,No,Medium,Monthly,Advanced,No
1000,Automated testing script,DevOps Engineer,High,Development,3,No,Long,Monthly,Advanced,No
